FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
10598.946036890475,9976.81698382294,9816.686370799107,10017.19574528519,9453.530353053196,9748.133551986104,9564.630339211373,9845.557171281289,9660.195316191655,9882.904295124914
10771.43877787943,11043.280036541088,10751.603990139503,10825.448725451088,10212.769583688716,10755.596347566814,9946.41376384506,10702.69687755628,10661.407846561437,10843.088073094352
10210.830436913768,10602.784427809678,10439.311930641454,10856.238138465871,10313.153896813046,10447.760243655357,10141.828181807425,10362.931747669216,10418.691507222955,10632.317307328598
9798.754407234197,10340.034587657674,10228.132627777873,11037.249663756313,10428.441242766234,10289.18005135808,10384.45195280214,10123.547878321664,10394.417160187402,10105.387261644628
10023.959589369344,10610.51434740503,10430.126327723978,11028.636177132606,10611.56012823369,10550.372278292509,9850.671949185058,10223.934943091457,10570.388936694746,10269.321123218964
10064.363665423898,10633.853406818782,10283.223195662562,10880.245652728225,10419.402624447905,10419.777663062732,9860.500272971432,10069.495016487885,10612.86480478555,10000.0
10801.385743590545,11350.563845860876,10925.924316111183,11377.552987742076,10747.200608362384,10988.80449567118,10551.848515221325,10710.423275427753,11419.904037592736,10409.835593316717
10079.303114771828,10665.012929434359,10319.94914331806,10728.887793043878,10401.313146740495,10410.448138548609,11201.304178068647,10015.44118728239,11007.279704054865,9882.904295124914
9755.608322898492,10618.272200666208,10274.038909866238,10745.667391789002,10857.966291104338,10335.820931860237,10966.37296179921,9969.10698434638,11007.279704054865,9742.389198773242
8784.528989279614,9387.39351734748,9466.079256975077,10198.396674955202,10414.881902857498,9561.56403702774,10783.597374741606,9196.907351328511,10418.691507222955,9039.811838253141
8839.311171889634,9910.909907377743,9484.439267280233,9329.709441462099,9707.294341065986,9440.295949837213,11008.55085128212,8061.77306852629,10722.08749662558,8793.910732764678
9033.519811745124,10397.137743217947,9814.969503376835,10862.04246622696,10355.09463006825,9850.065386827302,10714.239981610344,8347.487271323002,10910.194750962133,9366.631212344917
