FLCSX,mg_average,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
10000.0,264053.8124681276,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
10598.948658554365,264053.8124681276,9946.490922149642,9976.817953751688,9816.681748802457,11538.338472541705,10017.20457525072,9453.522084295748,9748.134338840278,9564.629222510846,9845.558123712732,9660.194185732611,9882.90554029966
10771.443949534601,264053.8124681276,10996.657395860064,11043.27588214732,10751.606673879662,11922.514498549612,10825.449628468612,10212.767620308494,10755.59548524195,9946.411764558734,10702.698880276808,10661.406716102394,10843.091257162858
10210.826270679036,264053.8124681276,10628.763625759175,10602.781363935008,10439.311959572808,11871.284564346708,10856.247196271326,10313.142479418531,10447.759427451647,10141.819315928211,10362.931782778209,10418.691507222955,10632.319225689587
9798.757734746157,264053.8124681276,10354.516212701204,10340.032562939106,10228.141204089847,11304.021466842862,11037.254697501436,10428.441081394616,10289.177760676233,10384.447012233779,10123.549825016951,10394.417160187402,10105.38664199059
10023.959593396154,264053.8124681276,10709.031273654033,10610.509354837497,10430.124380368545,11752.557429277202,11028.626273422335,10611.557073029258,10550.373694070899,9850.668649503044,10223.934964754293,10570.387806235702,10269.32364510113
10064.364516574951,264053.8124681276,10622.075422933522,10633.849370736565,10283.231775602582,11562.91727137206,10880.245891756793,10419.399641619248,10419.774603695658,9860.49223534445,10069.496957954249,10612.86480478555,10000.0
10801.387558944154,264053.8124681276,11337.794899413208,11350.562492360386,10925.925694210153,12420.406910921904,11377.552004075385,10747.194677207794,10988.8028492876,10551.842131933125,10710.423344152097,11419.901776674651,10409.836245236791
10079.303128100044,264053.8124681276,10675.587956029012,10665.010810807165,10319.956408555467,11338.653809524827,10728.890706447299,10401.312995586624,10410.445829697923,11201.296767418256,10015.444090891548,11007.28083451391,9882.90554029966
9755.608281824381,264053.8124681276,10581.940447237717,10618.269132316054,10274.044854958938,11068.213069064683,10745.670988617812,10857.968792814307,10335.820881546295,10966.369734755746,9969.109883473295,11007.28083451391,9742.390435148178
8784.530465666698,264053.8124681276,9692.308117568633,9387.390804682953,9466.079221813161,10199.178493583891,10198.397407698265,10414.875155249676,9561.564851834453,10783.590866106959,9196.910175755012,10418.691507222955,9039.812404374934
8839.308455815466,264053.8124681276,8869.565878394722,9910.908969892429,9484.439891888054,9956.774280808011,9329.712653790966,9707.28503510832,9440.297531931368,11008.548953605565,8061.774815771295,10722.088627084622,8793.91065723286
9033.521329979281,264053.8124681276,10244.397550369413,10397.136665227923,9814.969491191456,10991.092897045959,10862.046773526066,10355.093554702029,9850.064660172458,10714.230806129675,8347.488078835386,10910.194750962133,9366.632425187858
8176.5078842205085,264053.8124681276,9303.660417587107,9554.340644791659,8924.368988617505,9663.194366268475,10562.105509265746,9925.954732537413,8907.472690319388,10685.09944572124,7583.007030761553,10121.359300128284,8502.20281697797
7593.538170265886,264053.8124681276,8681.440450232261,9035.700274164035,8336.757080234614,9351.361949107293,10198.233800286536,9276.183875879356,8379.622745368368,10240.794816662343,7034.749543086112,9532.767711919243,8064.0655292099555
8226.334628427563,264053.8124681276,9407.3644173328,9765.040372322908,8988.644505092025,10158.420350377713,10888.732432229872,9884.92079559397,8945.175829748114,11175.4768952033,7575.289338488909,10175.972906966386,8620.616793763864
8211.388453899506,264053.8124681276,9518.473583268875,9846.079766389857,9043.73178380166,10038.368629064742,11002.66904107863,9938.303143411624,8982.878969176842,10925.955110472072,7621.620643791742,10206.311036309891,8585.093164356655
8071.873738186484,264053.8124681276,9303.660417587107,9619.173701212543,8805.008827675825,9821.220298906197,10997.72348093573,9635.00907251325,8737.807813771513,10260.566388881622,7343.626524058005,9781.553485860895,8561.410118497894
7847.6542295884,264053.8124681276,9214.770781341493,9432.784924994758,8713.197574573924,9623.487181998644,11226.731767481417,9567.074921916123,8718.954745819938,9759.272792324866,7289.574140681206,9648.056446985314,8608.774957707505
7299.563404645449,264053.8124681276,8629.589890044886,8873.627265407604,8162.3122748257765,9162.703727034,10963.092340294726,9123.048138463408,8191.105549987524,9561.347482271742,6841.698406941783,9192.961897651856,7945.652804931975
6537.21984851305,264053.8124681276,7955.516483131724,8136.182553581331,7482.881869174167,7692.081028523141,10401.012628048256,8793.068543379042,7568.9955091088705,8967.568847752877,6262.547416938313,8513.348573428515,7495.673054853646
6796.31656545548,264053.8124681276,8155.518164684355,8395.502257280354,7620.605334433218,8055.76294442046,10923.977949251017,8902.251320387308,7729.234975358867,8966.036828102731,6401.543267590423,8707.524697138717,7649.6131660625715
7284.6155494500645,264053.8124681276,8748.10825329066,8987.075481848373,8208.217242816108,8973.800637280463,11209.081854213711,9309.877881240944,8275.937239142855,8919.97685338714,6880.307183112939,9362.864239556027,8229.846223967328
