Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10,Portifolio 11,Portifolio 12
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9014.845234802995,9284.042085651634,8941.441043416298,9888.67486129456,8683.619450811422,8211.38719602474,8692.190235180155,9171.152346983288,8565.936059326916,8589.536180356137,8295.966965758153,9388.413856849193
9553.092276814928,10324.770491160676,10147.840208855569,10306.27701771732,10278.274112795052,9585.898635405161,9936.978971456481,9790.238813909196,8385.154051252595,9753.87656855801,8379.152074496793,10136.645510032395
9191.742519730315,9721.71321713586,9680.735036064529,10746.611794218317,10522.036137921936,9914.490463459051,9580.306808456986,9410.73653902219,8434.815052810514,10663.449506226085,9149.618232052288,9804.496689558384
10437.696287770994,9405.585871838446,10024.03055429621,11232.406254028714,11815.374523312772,10633.598454267347,9192.086631514354,9294.533741588757,9207.654513709509,11569.392017085578,9887.328412479186,9295.03306407125
9704.411266746924,9024.325746448476,9991.640973269714,11208.28268975456,11040.828850005932,10537.003388740068,8170.7092811067205,10009.938951253038,8590.923583583874,11470.683186213577,10433.915471722003,9036.10860406012
9355.154646545869,9275.738124499927,10158.943927680326,12018.379320710093,11800.603864310018,10723.111273757542,8660.970926171745,9788.927030501824,8708.718517733218,11937.994634288316,9824.858179778199,9203.735916443497
9076.395055959223,10222.882309130779,10253.732812881508,12885.225170634429,12545.841420938059,11575.898266186818,8130.518758531217,10777.154550639818,9055.959537340057,13196.89512206298,10034.297702956179,9903.236493536018
9767.610186595648,8900.404208565164,10240.186778528914,14285.508563297457,13542.771556486126,11650.792563027713,8454.520848148783,10739.564819839137,9457.984523729046,14426.325525816103,11088.426358837149,8520.636263430497
10419.65066671291,9325.820695570768,11932.145278475145,13551.759824047993,14906.954516022292,11646.632880984038,9497.891855730119,10521.347324063487,9568.036662520164,15027.103980814778,11711.034951341813,9250.617687236834
11222.41429508903,9134.343708711584,11500.192286611735,13665.390662038837,13745.188291822564,11873.49941347913,9605.682962631763,10298.852581855514,9554.076951906449,15879.198273687789,12463.536987640236,9198.813384429099
