Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10
CSX,HON,IP,WFC,IFF,GPS,CSX,MRK,SNA,LNC
IFF,CPB,CVS,PKI,GWW,CAG,HD,HWM,PGR,AEP
ADI,KO,CVX,CSCO,MO,HIG,PG,TAP,MSFT,UNP
AAPL,SYY,BLL,DUK,CMS,EMR,EMR,CSX,IFF,MSFT
CMA,CINF,ALL,LEG,NKE,KEY,CMI,MMM,AIG,EMR
SEE,CSX,CPB,UNP,TXT,JNJ,C,OXY,CAG,DTE
LIN,LUV,KEY,LUMN,JPM,CI,SCHW,WMB,NKE,SNA
NWL,AXP,BSX,HAL,WFC,LEG,COST,GD,IP,MDT
LNC,C,AES,LMT,AMGN,CTXS,XOM,IPG,AFL,AIG
EMR,ADSK,ADM,PNC,FDX,CVS,CAG,NEE,CINF,KR
