ticker,Date_first_added
HSY,1957-03-04
KR,1957-03-04
BMY,1957-03-04
ETR,1957-03-04
KMB,1957-03-04
CAT,1957-03-04
IP,1957-03-04
CVX,1957-03-04
IBM,1957-03-04
HIG,1957-03-04
BA,1957-03-04
KO,1957-03-04
HAL,1957-03-04
COP,1957-03-04
CVS,1957-03-04
DE,1957-03-04
GD,1957-03-04
DTE,1957-03-04
F,1957-03-04
XOM,1957-03-04
EIX,1957-03-04
CL,1957-03-04
MRK,1957-03-04
CPB,1957-03-04
EXC,1957-03-04
XEL,1957-03-04
UNP,1957-03-04
MO,1957-03-04
SO,1957-03-04
AEP,1957-03-04
SEE,1957-03-04
NSC,1957-03-04
PEP,1957-03-04
PFE,1957-03-04
PEG,1957-03-04
PPG,1957-03-04
PG,1957-03-04
ABT,1964-03-31
HWM,1964-03-31
HON,1964-03-31
SHW,1964-06-30
EMR,1965-03-31
SLB,1965-03-31
CMI,1965-03-31
CSX,1967-09-30
GIS,1969-03-31
CLX,1969-03-31
NEM,1969-06-30
MCD,1970-06-30
LLY,1970-12-31
BAX,1972-09-30
BDX,1972-09-30
JNJ,1973-06-30
GPC,1973-12-31
HPQ,1974-12-31
WMB,1975-03-31
JPM,1975-06-30
IFF,1976-03-31
AXP,1976-06-30
NEE,1976-06-30
LNC,1976-06-30
TAP,1976-06-30
DIS,1976-06-30
WFC,1976-06-30
DUK,1976-06-30
CI,1976-06-30
BAC,1976-06-30
MMM,1976-08-09
INTC,1976-12-31
TGT,1976-12-31
TXT,1978-12-31
VFC,1979-06-30
WBA,1979-12-31
AIG,1980-03-31
PCAR,1980-12-31
FDX,1980-12-31
ADP,1981-03-31
GWW,1981-06-30
MAS,1981-06-30
ADM,1981-07-29
WMT,1982-08-31
SNA,1982-09-30
SWK,1982-09-30
AAPL,1982-11-30
OXY,1982-12-31
CAG,1983-08-31
BBWI,1983-09-30
VZ,1983-11-30
LOW,1984-02-29
PHM,1984-04-30
HES,1984-05-31
LMT,1984-07-31
HAS,1984-09-30
BLL,1984-10-31
APD,1985-04-30
NUE,1985-04-30
PKI,1985-05-31
NOC,1985-06-30
CNP,1985-07-31
TJX,1985-09-30
DOV,1985-10-31
PH,1985-11-30
ITW,1986-02-28
GPS,1986-08-31
MDT,1986-10-31
SYY,1986-12-31
MMC,1987-08-31
AVY,1987-12-31
HD,1988-03-31
PNC,1988-04-30
C,1988-05-31
NKE,1988-11-30
ECL,1989-01-31
NWL,1989-04-30
GL,1989-04-30
ORCL,1989-08-31
K,1989-09-11
ADSK,1989-12-01
MRO,1991-05-01
AEE,1991-09-19
AMGN,1992-01-02
LIN,1992-07-01
IPG,1992-10-01
COST,1993-10-01
CSCO,1993-12-01
EMN,1994-01-01
KEY,1994-03-01
MSFT,1994-06-01
LUV,1994-07-01
UNH,1994-07-01
MU,1994-09-27
BSX,1995-02-24
AMAT,1995-03-16
BK,1995-03-31
ALL,1995-07-13
CMA,1995-12-01
AON,1996-04-23
AZO,1997-01-02
ADBE,1997-05-05
CAH,1997-05-27
SCHW,1997-06-02
EFX,1997-06-19
APA,1997-07-28
PGR,1997-08-04
YUM,1997-10-06
TFC,1997-12-04
CINF,1997-12-18
COF,1998-07-01
RF,1998-08-28
AES,1998-10-02
CCL,1998-12-22
LUMN,1999-03-25
CMS,1999-05-03
AFL,1999-05-28
NTAP,1999-06-25
BBY,1999-06-29
VMC,1999-06-30
ADI,1999-10-12
LEG,1999-10-14
XLNX,1999-11-08
CTXS,1999-12-01
