id,ticker,name,date_added_first
0,MMM,3M,1976-08-09
1,ABT,Abbott Laboratories,1964-03-31
2,ABBV,AbbVie,2012-12-31
3,ABMD,Abiomed,2018-05-31
4,ACN,Accenture,2011-07-06
5,ATVI,Activision Blizzard,2015-08-31
6,ADBE,Adobe,1997-05-05
7,AMD,Advanced Micro Devices,1900-01-01
8,AAP,Advance Auto Parts,2015-07-09
9,AES,AES Corp,1998-10-02
10,AFL,Aflac,1999-05-28
11,A,Agilent Technologies,2000-06-05
12,APD,Air Products & Chemicals,1985-04-30
13,AKAM,Akamai Technologies,2007-07-12
14,ALK,Alaska Air Group,2016-05-13
15,ALB,Albemarle Corporation,2016-07-01
16,ARE,Alexandria Real Estate Equities,2017-03-20
17,ALGN,Align Technology,2017-06-19
18,ALLE,Allegion,2013-12-02
19,LNT,Alliant Energy,2016-07-01
20,ALL,Allstate Corp,1995-07-13
21,GOOGL,Alphabet (Class A),2014-04-03
22,GOOG,Alphabet (Class C),2006-04-03
23,MO,Altria Group,1957-03-04
24,AMZN,Amazon,2005-11-18
25,AMCR,Amcor,2019-06-07
26,AEE,Ameren Corp,1991-09-19
27,AAL,American Airlines Group,2015-03-23
28,AEP,American Electric Power,1957-03-04
29,AXP,American Express,1976-06-30
30,AIG,American International Group,1980-03-31
31,AMT,American Tower,2007-11-19
32,AWK,American Water Works,2016-03-04
33,AMP,Ameriprise Financial,2005-10-03
34,ABC,AmerisourceBergen,2001-08-30
35,AME,Ametek,2013-09-23
36,AMGN,Amgen,1992-01-02
37,APH,Amphenol Corp,2008-09-30
38,ADI,Analog Devices,1999-10-12
39,ANSS,Ansys,2017-06-19
40,ANTM,Anthem,2002-07-25
41,AON,Aon,1996-04-23
42,AOS,A. O. Smith,2017-07-26
43,APA,APA Corporation,1997-07-28
44,AAPL,Apple,1982-11-30
45,AMAT,Applied Materials,1995-03-16
46,APTV,Aptiv,2012-12-24
47,ADM,ADM,1981-07-29
48,ANET,Arista Networks,2018-08-28
49,AJG,Arthur J. Gallagher & Co.,2016-05-31
50,AIZ,Assurant,2007-04-10
51,T,AT&T,1900-01-01
52,ATO,Atmos Energy,2019-02-15
53,ADSK,Autodesk,1989-12-01
54,ADP,Automatic Data Processing,1981-03-31
55,AZO,AutoZone,1997-01-02
56,AVB,AvalonBay Communities,2007-01-10
57,AVY,Avery Dennison,1987-12-31
58,BKR,Baker Hughes,2017-07-07
59,BLL,Ball Corp,1984-10-31
60,BAC,Bank of America,1976-06-30
61,BBWI,"Bath & Body Works, Inc.",1983-09-30
62,BAX,Baxter International,1972-09-30
63,BDX,Becton Dickinson,1972-09-30
65,BBY,Best Buy,1999-06-29
66,BIO,Bio-Rad Laboratories,2020-06-22
67,TECH,Bio-Techne,2021-08-30
68,BIIB,Biogen,2003-11-13
69,BLK,BlackRock,2011-04-04
70,BK,BNY Mellon,1995-03-31
71,BA,Boeing,1957-03-04
72,BKNG,Booking Holdings,2009-11-06
73,BWA,BorgWarner,2011-12-19
74,BXP,Boston Properties,2006-04-03
75,BSX,Boston Scientific,1995-02-24
76,BMY,Bristol Myers Squibb,1957-03-04
77,AVGO,Broadcom,2014-05-08
78,BR,Broadridge Financial Solutions,2018-06-18
79,BRO,Brown & Brown,2021-09-20
81,CHRW,C. H. Robinson,2007-03-02
82,COG,Cabot Oil & Gas,2008-06-23
83,CDNS,Cadence Design Systems,2017-09-18
84,CZR,Caesars Entertainment,2021-03-22
85,CPB,Campbell Soup,1957-03-04
86,COF,Capital One Financial,1998-07-01
87,CAH,Cardinal Health,1997-05-27
88,KMX,CarMax,2010-06-28
89,CCL,Carnival Corporation,1998-12-22
90,CARR,Carrier Global,2020-04-03
91,CTLT,Catalent,2020-09-21
92,CAT,Caterpillar,1957-03-04
93,CBOE,Cboe Global Markets,2017-03-01
94,CBRE,CBRE,2006-11-10
95,CDW,CDW,2019-09-23
96,CE,Celanese,2018-12-24
97,CNC,Centene Corporation,2016-03-30
98,CNP,CenterPoint Energy,1985-07-31
99,CDAY,Ceridian,2021-09-20
100,CERN,Cerner,2010-04-30
101,CF,CF Industries,2008-08-27
102,CRL,Charles River Laboratories,2021-05-14
103,SCHW,Charles Schwab Corporation,1997-06-02
104,CHTR,Charter Communications,2016-09-08
105,CVX,Chevron Corporation,1957-03-04
106,CMG,Chipotle Mexican Grill,2011-04-28
107,CB,Chubb,2010-07-15
108,CHD,Church & Dwight,2015-12-29
109,CI,Cigna,1976-06-30
110,CINF,Cincinnati Financial,1997-12-18
111,CTAS,Cintas Corporation,2001-03-01
112,CSCO,Cisco Systems,1993-12-01
113,C,Citigroup,1988-05-31
114,CFG,Citizens Financial Group,2016-01-29
115,CTXS,Citrix Systems,1999-12-01
116,CLX,Clorox,1969-03-31
117,CME,CME Group,2006-08-11
118,CMS,CMS Energy,1999-05-03
119,KO,Coca-Cola Company,1957-03-04
120,CTSH,Cognizant Technology Solutions,2006-11-17
121,CL,Colgate-Palmolive,1957-03-04
122,CMCSA,Comcast,2002-11-19
123,CMA,Comerica,1995-12-01
124,CAG,Conagra Brands,1983-08-31
125,COP,ConocoPhillips,1957-03-04
126,ED,Consolidated Edison,1900-01-01
127,STZ,Constellation Brands,2005-07-01
128,COO,The Cooper Companies,2016-09-23
129,CPRT,Copart,2018-07-02
130,GLW,Corning,1900-01-01
131,CTVA,Corteva,2019-06-03
132,COST,Costco,1993-10-01
133,CCI,Crown Castle,2012-03-14
134,CSX,CSX,1967-09-30
135,CMI,Cummins,1965-03-31
136,CVS,CVS Health,1957-03-04
137,DHI,D. R. Horton,2005-06-22
138,DHR,Danaher Corporation,1900-01-01
139,DRI,Darden Restaurants,1900-01-01
140,DVA,DaVita,2008-07-31
141,DE,Deere & Co.,1957-03-04
142,DAL,Delta Air Lines,2013-09-11
143,XRAY,Dentsply Sirona,2008-11-14
144,DVN,Devon Energy,2000-08-30
145,DXCM,DexCom,2020-05-12
146,FANG,Diamondback Energy,2018-12-03
147,DLR,Digital Realty Trust,2016-05-18
148,DFS,Discover Financial Services,2007-07-02
149,DISCA,Discovery (Series A),2010-03-01
150,DISCK,Discovery (Series C),2014-08-07
151,DISH,Dish Network,2017-03-13
152,DG,Dollar General,2012-12-03
153,DLTR,Dollar Tree,2011-12-19
154,D,Dominion Energy,1900-01-01
155,DPZ,Domino's Pizza,2020-05-12
156,DOV,Dover Corporation,1985-10-31
157,DOW,Dow,2019-04-01
158,DTE,DTE Energy,1957-03-04
159,DUK,Duke Energy,1976-06-30
160,DRE,Duke Realty Corp,2017-07-26
161,DD,DuPont,2019-04-02
162,DXC,DXC Technology,2017-04-04
163,EMN,Eastman Chemical,1994-01-01
164,ETN,Eaton Corporation,1900-01-01
165,EBAY,eBay,2002-07-22
166,ECL,Ecolab,1989-01-31
167,EIX,Edison International,1957-03-04
168,EW,Edwards Lifesciences,2011-04-01
169,EA,Electronic Arts,2002-07-22
170,EMR,Emerson Electric Company,1965-03-31
171,ENPH,Enphase Energy,2021-01-07
172,ETR,Entergy,1957-03-04
173,EOG,EOG Resources,2000-11-02
174,EFX,Equifax,1997-06-19
175,EQIX,Equinix,2015-03-20
176,EQR,Equity Residential,2001-12-03
177,ESS,Essex Property Trust,2014-04-02
178,EL,Estée Lauder Companies,2006-01-05
179,ETSY,Etsy,2020-09-21
180,EVRG,Evergy,2018-06-05
181,ES,Eversource Energy,1900-01-01
182,RE,Everest Re,2017-06-19
183,EXC,Exelon,1957-03-04
184,EXPE,Expedia Group,2007-10-02
185,EXPD,Expeditors,2007-10-10
186,EXR,Extra Space Storage,2016-01-19
187,XOM,ExxonMobil,1957-03-04
188,FFIV,F5 Networks,2010-12-20
189,FB,Facebook,2013-12-23
190,FAST,Fastenal,2008-09-15
191,FRT,Federal Realty Investment Trust,2016-02-01
192,FDX,FedEx,1980-12-31
193,FIS,Fidelity National Information Services,2006-11-10
194,FITB,Fifth Third Bancorp,1900-01-01
195,FE,FirstEnergy,1900-01-01
196,FRC,First Republic Bank,2019-01-02
197,FISV,Fiserv,2001-04-02
198,FLT,Fleetcor,2018-06-20
199,FMC,FMC Corporation,2009-08-19
200,F,Ford,1957-03-04
201,FTNT,Fortinet,2018-10-11
202,FTV,Fortive,2016-07-01
203,FBHS,Fortune Brands Home & Security,2016-06-22
204,FOXA,Fox Corporation (Class A),2013-07-01
205,FOX,Fox Corporation (Class B),2015-09-18
206,BEN,Franklin Resources,1900-01-01
207,FCX,Freeport-McMoRan,1900-01-01
208,GPS,Gap,1986-08-31
209,GRMN,Garmin,2012-12-12
210,IT,Gartner,2017-04-05
211,GNRC,Generac Holdings,2021-03-22
212,GD,General Dynamics,1957-03-04
213,GE,General Electric,1900-01-01
214,GIS,General Mills,1969-03-31
215,GM,General Motors,2013-06-06
216,GPC,Genuine Parts,1973-12-31
217,GILD,Gilead Sciences,2004-07-01
218,GL,Globe Life,1989-04-30
219,GPN,Global Payments,2016-04-25
220,GS,Goldman Sachs,2002-07-22
221,GWW,W. W. Grainger,1981-06-30
222,HAL,Halliburton,1957-03-04
223,HBI,Hanesbrands,2015-03-20
224,HIG,The Hartford,1957-03-04
225,HAS,Hasbro,1984-09-30
226,HCA,HCA Healthcare,2015-01-27
227,PEAK,Healthpeak Properties,2008-03-31
228,HSIC,Henry Schein,2015-03-17
229,HSY,The Hershey Company,1957-03-04
230,HES,Hess Corporation,1984-05-31
231,HPE,Hewlett Packard Enterprise,2015-11-02
232,HLT,Hilton Worldwide,2017-06-19
233,HOLX,Hologic,2016-03-30
234,HD,Home Depot,1988-03-31
235,HON,Honeywell,1964-03-31
236,HRL,Hormel,2009-03-04
237,HST,Host Hotels & Resorts,2007-03-20
238,HWM,Howmet Aerospace,1964-03-31
239,HPQ,HP,1974-12-31
240,HUM,Humana,1900-01-01
241,HBAN,Huntington Bancshares,1900-01-01
242,HII,Huntington Ingalls Industries,2018-01-03
243,IEX,IDEX Corporation,2019-08-09
244,IDXX,Idexx Laboratories,2017-01-05
245,INFO,IHS Markit,2017-06-02
246,ITW,Illinois Tool Works,1986-02-28
247,ILMN,Illumina,2015-11-19
248,INCY,Incyte,2017-02-28
249,IR,Ingersoll Rand,2020-03-03
250,INTC,Intel,1976-12-31
251,ICE,Intercontinental Exchange,2007-09-26
252,IBM,IBM,1957-03-04
253,IP,International Paper,1957-03-04
254,IPG,Interpublic Group,1992-10-01
255,IFF,International Flavors & Fragrances,1976-03-31
256,INTU,Intuit,2000-12-05
257,ISRG,Intuitive Surgical,2008-06-02
258,IVZ,Invesco,2008-08-21
259,IPGP,IPG Photonics,2018-03-07
260,IQV,IQVIA,2017-08-29
261,IRM,Iron Mountain,2009-01-06
262,JKHY,Jack Henry & Associates,2018-11-13
263,J,Jacobs Engineering Group,2007-10-26
264,JBHT,J. B. Hunt,2015-07-01
265,SJM,JM Smucker,2008-11-06
266,JNJ,Johnson & Johnson,1973-06-30
267,JCI,Johnson Controls,2010-08-27
268,JPM,JPMorgan Chase,1975-06-30
269,JNPR,Juniper Networks,2006-06-02
270,KSU,Kansas City Southern,2013-05-24
271,K,Kellogg's,1989-09-11
272,KEY,KeyCorp,1994-03-01
273,KEYS,Keysight Technologies,2018-11-06
274,KMB,Kimberly-Clark,1957-03-04
275,KIM,Kimco Realty,2006-04-04
276,KMI,Kinder Morgan,2012-05-25
277,KLAC,KLA Corporation,1900-01-01
278,KHC,Kraft Heinz,2015-07-06
279,KR,Kroger,1957-03-04
280,LHX,L3Harris Technologies,2008-09-22
281,LH,LabCorp,2004-11-01
282,LRCX,Lam Research,2012-06-29
283,LW,Lamb Weston,2018-12-03
284,LVS,Las Vegas Sands,2019-10-03
285,LEG,Leggett & Platt,1999-10-14
286,LDOS,Leidos,2019-08-09
287,LEN,Lennar,2005-10-04
288,LLY,Eli Lilly & Co,1970-12-31
289,LNC,Lincoln National,1976-06-30
290,LIN,Linde,1992-07-01
291,LYV,Live Nation Entertainment,2019-12-23
292,LKQ,LKQ Corporation,2016-05-23
293,LMT,Lockheed Martin,1984-07-31
294,L,Loews Corporation,1900-01-01
295,LOW,Lowe's,1984-02-29
296,LUMN,Lumen Technologies,1999-03-25
297,LYB,LyondellBasell,2012-09-05
298,MTB,M&T Bank,2004-02-23
299,MRO,Marathon Oil,1991-05-01
300,MPC,Marathon Petroleum,2011-07-01
301,MKTX,MarketAxess,2019-07-01
302,MAR,Marriott International,1900-01-01
303,MMC,Marsh & McLennan,1987-08-31
304,MLM,Martin Marietta Materials,2014-07-02
305,MAS,Masco,1981-06-30
306,MA,Mastercard,2008-07-18
307,MTCH,Match Group,2021-09-20
308,MKC,McCormick & Company,2003-03-20
309,MCD,McDonald's,1970-06-30
310,MCK,McKesson Corporation,1900-01-01
311,MDT,Medtronic,1986-10-31
312,MRK,Merck & Co.,1957-03-04
313,MET,MetLife,1900-01-01
314,MTD,Mettler Toledo,2016-09-06
315,MGM,MGM Resorts International,2017-07-26
316,MCHP,Microchip Technology,2007-09-07
317,MU,Micron Technology,1994-09-27
318,MSFT,Microsoft,1994-06-01
319,MAA,Mid-America Apartments,2016-12-02
320,MRNA,Moderna,2021-07-21
321,MHK,Mohawk Industries,2013-12-23
322,TAP,Molson Coors Beverage Company,1976-06-30
